depth_mm,MC_dose_raw,MC_PDD_norm,microDiamond_dose_raw,microDiamond_PDD_norm,microDiamond_dev_%,PinPoint_dose_raw,PinPoint_PDD_norm,PinPoint_dev_%,Semiflex_dose_raw,Semiflex_PDD_norm,Semiflex_dev_%
43,80.499,85.1256,4.23,84.8273,-0.3504,3.018,85.11,-0.0183,0.6374,85.7414,0.7234
44,78.751,83.2771,4.2024,84.2739,1.1969,3.003,84.687,1.693,0.6318,84.9907,2.0577
45,79.007,83.5478,4.1736,83.6963,0.1777,2.985,84.1794,0.7559,0.6297,84.7082,1.3889
46,78.666,83.1872,4.149,83.203,0.0189,2.9745,83.8832,0.8367,0.6248,84.0517,1.0392
47,77.451,81.9024,4.1076,82.3728,0.5743,2.9475,83.1218,1.4889,0.6213,83.5836,2.0526
48,76.961,81.3842,4.0722,81.6629,0.3424,2.9355,82.7834,1.7192,0.6171,83.0199,2.0098
49,76.62,81.0236,4.0512,81.2417,0.2692,2.916,82.2335,1.4932,0.6129,82.4576,1.7698
50,76.215,80.5954,4.026,80.7364,0.175,2.8995,81.7682,1.4552,0.6095,81.9881,1.728
51,75.661,80.0095,4.0068,80.3513,0.4272,2.8785,81.176,1.4579,0.6067,81.6127,2.0038
52,75.128,79.4459,3.9786,79.7858,0.4279,2.8575,80.5838,1.4323,0.6018,80.9562,1.9011
53,74.702,78.9954,3.9558,79.3286,0.4218,2.829,79.78,0.9933,0.5983,80.4881,1.8896
